ra,declination,redshift
212.818,-0.95974,0.087054
212.685,-0.86412,0.14009
212.612,-0.83238,0.025562
212.636,-0.841852,0.025397
212.901,-0.956732,0.172551
212.793,-0.849283,0.127413
212.975,-0.800056,0.097751
212.999,-0.813107,0.126981
212.543,-1.0828,0.115527
212.715,-1.09181,0.127444
212.641,-0.988351,0.054052
212.848,-0.842728,0.082989
212.864,-0.988443,0.161481
212.939,-0.904269,0.054369
212.7,-1.14442,0.054312
212.551,-0.873593,0.025327
212.592,-1.11501,0.054139
212.939,-0.230567,0.047812
212.958,-0.480356,0.097662
213.021,-0.588006,0.139546
213.053,-0.612699,0.024915
213.006,-0.29104,0.138216
212.954,-0.706883,0.117327
212.982,-0.720349,0.11641
213.139,-0.280079,0.138404
213.192,-0.131535,0.272837
213.107,-0.25055500000000003,0.138928
213.068,-0.633116,0.025067
212.948,-0.273369,0.146529
213.096,-0.163109,0.128494
213.079,-0.122678,0.017403
212.509,-1.23218,0.117457
212.393,-1.18697,0.182503
212.508,-1.10775,0.054245
212.435,-0.886012,0.115283
212.485,-1.24003,0.024634
212.359,-1.01268,0.083386
212.336,-1.19194,0.083115
212.359,-0.869733,0.071329
212.542,-0.751768,0.107042
212.338,-0.808771,0.172893
212.34,-1.08686,0.520012
212.356,-0.847639,0.278624
212.414,-0.885347,0.114619
212.503,-1.06284,0.049395
212.348,-0.787988,0.070055
212.395,-0.819959,0.082787
212.902,-0.694832,0.116698
212.737,-0.327461,0.146962
212.933,-0.684131,0.136705
212.771,-0.319566,0.138556
212.879,-0.18146,0.168448
212.77,-0.709364,0.139886
212.879,-0.598911,0.117507
212.78,-0.342183,0.054638
212.835,-0.497422,0.025124
212.848,-0.300517,0.025983
212.852,-0.27302,0.082399
212.874,-0.524969,0.359675
212.817,-0.176308,0.106816
212.789,-0.242014,0.180906
212.774,-0.113165,0.117522
212.703,-0.311225,0.137653
212.23,-1.25515,0.194893
212.218,-0.909587,0.082929
212.18,-1.16165,0.005006
212.002,-0.821824,0.054656
212.206,-0.898881,0.08315
212.056,-0.810349,0.174145
212.155,-0.920713,0.08301
212.122,-0.84146,0.055713
212.091,-1.07534,0.087698
212.027,-0.821231,0.051881
212.212,-0.876671,0.111159
212.282,-0.872329,0.115298
212.098,-0.828539,0.17489
212.121,-1.25328,0.465532
212.095,-0.74621,0.079201
212.528,-0.366277,0.103441
212.375,-0.54372,0.083037
212.61,-0.588559,0.053737
212.471,-0.383959,0.054469
212.514,-0.355839,0.082955
212.559,-0.578541,0.025811
212.497,-0.377378,0.081879
212.54,-0.283327,0.053336
212.473,-0.08705,0.082904
